h,s,t,r/2,zr,cx,cz,thetaWheel_-25,thetaWheel_-24,thetaWheel_-23,thetaWheel_-22,thetaWheel_-21,thetaWheel_-20,thetaWheel_-19,thetaWheel_-18,thetaWheel_-17,thetaWheel_-16,thetaWheel_-15,thetaWheel_-14,thetaWheel_-13,thetaWheel_-12,thetaWheel_-11,thetaWheel_-10,thetaWheel_-9,thetaWheel_-8,thetaWheel_-7,thetaWheel_-6,thetaWheel_-5,thetaWheel_-4,thetaWheel_-3,thetaWheel_-2,thetaWheel_-1,thetaWheel_0,thetaWheel_1,thetaWheel_2,thetaWheel_3,thetaWheel_4,thetaWheel_5,thetaWheel_6,thetaWheel_7,thetaWheel_8,thetaWheel_9,thetaWheel_10,thetaWheel_11,thetaWheel_12,thetaWheel_13,thetaWheel_14,thetaWheel_15,thetaWheel_16,thetaWheel_17,thetaWheel_18,thetaWheel_19,thetaWheel_20,thetaWheel_21,thetaWheel_22,thetaWheel_23,thetaWheel_24,thetaWheel_25
40,20,90,50,10,-10,-40,48.2492,47.0489,45.8169,44.5518,43.2518,41.9152,40.54,39.1238,37.664,36.1579,34.6021,32.993,31.3262,29.597,27.7994,25.9268,23.9711,21.9226,19.7694,17.4965,15.0849,12.5095,9.73629,6.71659,3.37689,-0.404238,-4.85654,-10.5383,-20.3797,-26.0131,-26.1873,-26.3663,-26.5502,-26.7391,-26.9333,-27.1328,-27.3379,-27.5486,-27.7651,-27.9877,-28.2164,-28.4515,-28.6931,-28.9413,-29.1965,-29.4587,-29.7282,-30.0051,-30.2897,-30.5821,-30.8825
50,30,100,50,10,-10,-50,52.7712,51.5394,50.2727,48.9693,47.6272,46.2442,44.8177,43.345,41.823,40.2481,38.6164,36.9231,35.1631,33.33,31.4168,29.4147,27.3135,25.1003,22.7595,20.2709,17.6083,14.7361,11.6039,8.13631,4.20992,-0.404641,-6.24699,-15.7566,-23.2442,-23.4614,-23.6863,-23.9192,-24.1604,-24.4103,-24.6692,-24.9377,-25.2161,-25.5048,-25.8044,-26.1154,-26.4382,-26.7735,-27.1218,-27.4837,-27.8599,-28.2511,-28.658,-29.0814,-29.5221,-29.9809,-30.4586
40,30,90,60,10,-10,-50,47.0757,45.9522,44.7959,43.6051,42.378,41.1127,39.8069,38.4583,37.0641,35.6213,34.1264,32.5755,30.9643,29.2875,27.5392,25.7124,23.7987,21.7883,19.6689,17.4252,15.0381,12.482,9.72288,6.712,3.37627,-0.404237,-4.85438,-10.5119,-20.0029,-26.3796,-26.654,-26.9378,-27.2315,-27.5355,-27.8502,-28.176,-28.5135,-28.8631,-29.2254,-29.6009,-29.9902,-30.3939,-30.8125,-31.2468,-31.6974,-32.165,-32.6504,-33.1543,-33.6776,-34.221,-34.7855
50,40,100,60,10,-10,-60,52.0685,50.903,49.7011,48.4608,47.1801,45.8564,44.487,43.0691,41.5991,40.0735,38.4878,36.8372,35.116,33.3179,31.4351,29.4587,27.3779,25.1797,22.8478,20.3618,17.695,14.8118,11.6622,8.17196,4.22199,-0.404495,-6.19679,-15.0586,-24.4651,-24.807,-25.164,-25.5369,-25.9268,-26.3345,-26.7613,-27.2083,-27.6767,-28.1678,-28.6832,-29.2244,-29.793,-30.391,-31.0202,-31.6829,-32.3812,-33.1176,-33.8949,-34.7158,-35.5835,-36.5013,-37.4727
40,10,100,30,10,-12,-30,48.1594,46.8534,45.5189,44.1549,42.7599,41.3324,39.8707,38.3729,36.8369,35.2603,33.6404,31.9741,30.258,28.4879,26.6593,24.7667,22.8036,20.7624,18.6338,16.4063,14.0656,11.5936,8.96617,6.15076,3.10112,-0.252325,-4.02325,-8.42269,-13.9426,-22.6952,-30.3604,-30.4495,-30.5403,-30.6328,-30.727,-30.823,-30.9207,-31.0202,-31.1216,-31.2247,-31.3296,-31.4364,-31.5451,-31.6556,-31.7679,-31.8821,-31.9982,-32.1162,-32.2361,-32.3578,-32.4813
40,30,100,50,10,-12,-50,44.3336,43.2458,42.1279,40.9783,39.7955,38.5778,37.3232,36.0297,34.6949,33.3161,31.8902,30.4138,28.8831,27.2934,25.6396,23.9155,22.1138,20.2257,18.2406,16.145,13.9221,11.5499,8.99875,6.22714,3.17331,-0.261801,-4.25735,-9.21143,-16.577,-25.4726,-25.6468,-25.8258,-26.0097,-26.1986,-26.3928,-26.5923,-26.7974,-27.0081,-27.2246,-27.4472,-27.6759,-27.911,-28.1525,-28.4008,-28.656,-28.9182,-29.1877,-29.4646,-29.7492,-30.0416,-30.342
40,20,80,60,10,-12,-40,47.3555,46.1648,44.9421,43.6858,42.3943,41.0658,39.6983,38.2895,36.837,35.3379,33.7892,32.1874,30.5284,28.8078,27.0203,25.1598,23.2191,21.1899,19.062,16.823,14.4576,11.9462,9.26342,6.375,3.23273,-0.235268,-4.1452,-8.70985,-14.4146,-23.2025,-32.0433,-32.3271,-32.6208,-32.9248,-33.2395,-33.5653,-33.9028,-34.2525,-34.6148,-34.9903,-35.3795,-35.7832,-36.2018,-36.6361,-37.0867,-37.5543,-38.0397,-38.5436,-39.0669,-39.6103,-40.1748
40,40,100,60,10,-12,-60,44.2359,43.1889,42.1103,40.9985,39.8518,38.6684,37.446,36.1825,34.8752,33.5212,32.1175,30.6601,29.1451,27.5676,25.922,24.2019,22.3995,20.5058,18.5096,16.397,14.1507,11.7482,9.15901,6.34113,3.23228,-0.266644,-4.33292,-9.35349,-16.6714,-26.3796,-26.654,-26.9378,-27.2315,-27.5355,-27.8502,-28.176,-28.5135,-28.8631,-29.2254,-29.6009,-29.9902,-30.3939,-30.8125,-31.2468,-31.6974,-32.165,-32.6504,-33.1543,-33.6776,-34.221,-34.7855
60,40,100,60,10,-12,-60,56.4329,55.1899,53.9082,52.5857,51.2198,49.808,48.3472,46.8339,45.2645,43.6346,41.9395,40.1735,38.3303,36.4026,34.3817,32.2575,30.0177,27.6475,25.1286,22.4379,19.5452,16.4103,12.9768,9.16107,4.82841,-0.266644,-6.68308,-16.6791,-26.5163,-26.9396,-27.3858,-27.8568,-28.3545,-28.8808,-29.4382,-30.0292,-30.6564,-31.323,-32.0324,-32.7882,-33.5948,-34.4567,-35.379,-36.3675,-37.4284,-38.5688,-39.7966,-41.1204,-42.5497,-44.0951,-45.768
40,10,100,30,10,-14,-30,45.8013,44.5339,43.2396,41.9174,40.566,39.1842,37.7703,36.3228,34.8398,33.3192,31.7587,30.1556,28.5069,26.8094,25.0589,23.2511,21.3806,19.4411,17.4254,15.3243,13.127,10.8198,8.38518,5.80045,3.03479,0.0448795,-3.2338,-6.90511,-11.1572,-16.4085,-24.1804,-33.665,-33.7557,-33.8482,-33.9425,-34.0385,-34.1362,-34.2357,-34.337,-34.4402,-34.5451,-34.6519,-34.7606,-34.8711,-34.9834,-35.0976,-35.2137,-35.3317,-35.4515,-35.5733,-35.6968
